id,home_club_id,home_club_goals
2466851,8024,0
2466852,2995,2
2466853,1465,2
2466854,1301,4
2466855,979,0
2466856,1085,2
2466857,336,1
2466858,720,2
2466859,982,0
2466860,2995,3
2466861,2990,0
2466862,2457,1
2466863,3327,0
2466864,294,4
2466865,2420,3
2466866,2424,1
2466867,8024,0
2466868,2503,1
2466869,982,1
2466870,1465,1
2466871,1075,2
2466872,979,2
2466873,1085,0
2466874,336,4
2466875,2425,3
2467446,22832,0
2467447,22783,1
2467448,16704,5
2467449,238,3
2469124,10854,0
2469187,22220,3
2469188,144,1
2469189,10482,1
2469190,22140,0
2469191,8031,1
2469192,1180,3
2469193,4391,0
2469194,318,3
2469195,5228,0
2469196,10719,0
2469197,1101,0
2469198,3776,1
2469199,9465,2
2469200,2531,2
2469201,195,1
2469202,5546,2
2469203,1092,4
2469204,14178,1
2469205,208,1
2469206,271,0
2469207,24832,0
2469208,6055,0
2469209,18506,0
2469210,420,2
2469211,20,0
2469212,920,0
2469213,987,2
2469214,370,0
2469215,3471,1
2469216,6066,0
2469217,6621,0
2469218,282,0
2469411,2778,3
2469412,5817,0
2469413,173,1
2469414,1177,0
2469415,865,3
2469416,3426,0
2469417,20100,3
2469418,1053,2
2469419,190,2
2469420,5724,2
2469421,3426,1
2469422,206,2
2469440,1177,0
2469441,20100,2
2469442,173,1
2469443,2778,3
2469444,5818,2
2469445,865,3
2469446,5724,1
2469447,1053,1
2469448,5817,1
2469449,190,0
2469450,206,1
2469451,3426,0
2469452,190,1
2469453,1053,1
2469454,20100,2
2469455,206,2
2469456,5724,0
2469457,5818,0
2469464,5817,1
2469465,1177,2
2469466,865,2
2469467,2778,0
2469468,173,0
2469469,5818,3
2469514,2990,1
2469515,2457,3
2469516,294,1
2469517,2995,4
2469518,2420,3
2469519,1301,1
2469520,2424,1
2469521,3327,1
2469522,720,2
2469523,8024,1
2469524,2503,1
2469525,1075,2
2469526,1465,2
2469527,2425,3
2469528,979,0
2469529,982,1
2469530,336,1
2469531,1085,1
2469532,2990,0
2469533,2424,0
2469534,2420,2
2469535,720,5
2469536,2457,0
2469537,1301,4
2469538,3327,1
2469539,2995,1
2469540,336,3
2469541,2990,0
2469542,8024,0
2469543,2503,1
2469544,1075,0
2469545,1465,1
2469546,294,3
2469547,979,2
2469548,2425,0
2469549,982,3
2469558,10597,3
2469559,6567,5
2469560,8929,2
2469561,25418,1
2469562,23336,0
2469563,23718,2
2469564,12886,5
2469565,22428,1
2469567,12460,1
2469866,3057,3
2469867,28643,0
2469868,520,0
2469869,204,2
2469870,968,1
