id,away_club_id,away_club_goals
2460814,33,0
2460815,86,1
2460816,44,1
2460817,24,1
2460818,15,2
2460819,533,1
2460820,16,3
2460821,18,1
2460822,42,1
2460823,27,6
2460824,3,1
2460825,33,0
2460826,60,0
2460827,127,0
2460828,39,0
2460829,79,1
2460830,167,0
2460831,82,5
2460832,41,1
2460833,533,1
2460834,18,2
2460835,82,0
2460836,27,3
2460837,86,1
2460838,44,0
2460839,16,0
2460840,24,2
2460841,15,3
2460842,3,0
2460843,79,0
2460844,60,0
2460845,42,0
2460846,39,2
2460847,41,0
2460848,33,2
2460849,27,4
2460850,127,0
2460851,18,2
2460852,15,1
2460853,82,1
2460854,16,3
2460855,167,0
2460856,24,1
2460857,44,1
2460858,86,1
2460859,533,0
2460860,27,1
2460861,41,0
2460862,79,1
2460863,33,0
2460864,18,4
2460865,127,0
2460866,39,0
2460867,42,2
2460868,3,0
2460869,24,0
2460870,60,0
2460871,16,1
2460872,15,3
2460873,44,1
2460874,86,2
2460875,82,2
2460876,533,2
2460877,167,1
2460878,127,0
2460879,42,0
2460880,33,1
2460881,79,1
2460882,27,2
2460883,3,0
2460884,41,0
2460885,18,0
2460886,39,3
2460887,44,0
2460888,24,0
2460889,82,0
2460890,33,0
2460891,533,2
2460892,60,2
2460893,167,2
2460894,15,1
2460895,86,2
2460896,79,2
2460897,27,0
2460898,42,2
2460899,41,2
2460900,3,0
2460901,16,1
2460902,18,2
2460903,24,0
2460904,127,2
2460905,167,1
2460906,44,0
2460907,15,0
2460908,86,1
2460909,533,1
2460910,39,0
2460911,60,1
2460912,33,0
2460913,82,3
2460914,127,0
2460915,533,0
2460916,16,1
2460917,3,0
2460918,42,2
2460919,24,0
2460920,18,2
2460921,27,1
2460922,41,1
2460923,39,0
2460924,86,2
2460925,167,3
2460926,44,1
2460927,60,1
2460928,15,1
2460929,33,0
2460930,82,2
2460931,79,2
2464767,979,1
2464768,1301,0
2464769,2503,0
2464770,336,1
2464771,1465,1
2464772,2995,0
2464773,2420,3
2464774,1085,0
2464775,2457,3
2464776,2990,1
2464777,2425,5
2464778,720,1
2464779,8024,0
2464780,294,1
2464781,1075,0
2464782,2424,0
2464783,979,0
2464784,1465,1
2464785,2420,3
2464786,1085,1
2464787,336,1
2464788,1301,2
2464789,8024,0
2464790,2503,0
2464791,2995,1
2464792,982,1
2464793,1075,0
2464794,2424,1
2464795,720,1
2464796,3327,0
2464797,2425,1
2464798,2990,0
2464799,2457,1
2464800,294,5
2465442,4793,3
2465443,8565,1
2465444,19559,0
2465445,26016,2
2465446,8343,0
2465447,38148,3
2465448,19934,2
2465449,44684,0
2465450,43624,1
2465451,3410,1
2465452,11487,2
2465453,44427,1
2465454,21965,4
2465455,20780,2
2465456,33427,3
2465457,6614,1
2465458,7474,1
2465459,33330,1
2465460,44686,0
2465461,44717,0
2465477,5771,0
2465478,197,1
2465492,4313,0
2465493,669,3
2466840,1465,2
2466841,1301,0
2466842,979,1
