id,clubs_id
342405,1025
347900,1025
353998,1025
355791,1025
35703,1025
357987,1025
35853,1025
368482,1025
368559,1025
368891,1025
381243,1025
386846,1025
390304,1025
39099,1025
394346,1025
395086,1025
395089,1025
395091,1025
395123,1025
397728,1025
401920,1025
401935,1025
41384,1025
41994,1025
420515,1025
423614,1025
43760,1025
458614,1025
459248,1025
459842,1025
471004,1025
474621,1025
482792,1025
486624,1025
496270,1025
497291,1025
515621,1025
530552,1025
537488,1025
537490,1025
541232,1025
556173,1025
562030,1025
574164,1025
577394,1025
591949,1025
60889,1025
616667,1025
63186,1025
662752,1025
699442,1025
704117,1025
80894,1025
818878,1025
818888,1025
82048,1025
82693,1025
85066,1025
85393,1025
861221,1025
99180,1025
9967,1025
103916,1038
109038,1038
111227,1038
112343,1038
123742,1038
136605,1038
144143,1038
159883,1038
164759,1038
168416,1038
171399,1038
174733,1038
197491,1038
198976,1038
216179,1038
21859,1038
22328,1038
226524,1038
233654,1038
238537,1038
242537,1038
242550,1038
249068,1038
25488,1038
256339,1038
257118,1038
284595,1038
287863,1038
287876,1038
301235,1038
310458,1038
312346,1038
318707,1038
324993,1038
340394,1038
340511,1038
343950,1038
344321,1038
347656,1038
348601,1038
357180,1038
372134,1038
392500,1038
392521,1038
393604,1038
393605,1038
393607,1038
394855,1038
397869,1038
398056,1038
398057,1038
398058,1038
398061,1038
399907,1038
419061,1038
422764,1038
422851,1038
42796,1038
432384,1038
434676,1038
441385,1038
44832,1038
459991,1038
461600,1038
463497,1038
463775,1038
469690,1038
487839,1038
49275,1038
52328,1038
540941,1038
567444,1038
56810,1038
574495,1038
57657,1038
5873,1038
5962,1038
62725,1038
633377,1038
65929,1038
6793,1038
72274,1038
75942,1038
76077,1038
81789,1038
84765,1038
84846,1038
85380,1038
88688,1038
13582,1039
136589,1039
148911,1039
155233,1039
158718,1039
169633,1039
173832,1039
189039,1039
264199,1039
28810,1039
3235,1039
3467,1039
362809,1039
369085,1039
3807,1039
4205,1039
88067,1039
135617,1041
157166,1041
181778,1041
182903,1041
182908,1041
182909,1041
190366,1041
204072,1041
209990,1041
228975,1041
229004,1041
236400,1041
243704,1041
26485,1041
277114,1041
315110,1041
324796,1041
326300,1041
336828,1041
353395,1041
353396,1041
353404,1041
384060,1041
395237,1041
395676,1041
395693,1041
395699,1041
418660,1041
444523,1041
450936,1041
461581,1041
463665,1041
555076,1041
57370,1041
57480,1041
591195,1041
60543,1041
60561,1041
607223,1041
607225,1041
618472,1041
620322,1041
627924,1041
669000,1041
672202,1041
673514,1041
702441,1041
744941,1041
85863,1041
86792,1041
114491,10484
116611,10484
126687,10484
133734,10484
134209,10484
140597,10484
141796,10484
154414,10484
158118,10484
160222,10484
166753,10484
167423,10484
168161,10484
17184,10484
172665,10484
189640,10484
193612,10484
201311,10484
20351,10484
215592,10484
222332,10484
230921,10484
238809,10484
247766,10484
257786,10484
259025,10484
260393,10484
265879,10484
282473,10484
282663,10484
289713,10484
293339,10484
296919,10484
31773,10484
329714,10484
332061,10484
33797,10484
338066,10484
338422,10484
3391,10484
348040,10484
353658,10484
370836,10484
374735,10484
37736,10484
382759,10484
38414,10484
385906,10484
386155,10484
387143,10484
39247,10484
396898,10484
396899,10484
406295,10484
410571,10484
413948,10484
445804,10484
453916,10484
457486,10484
505934,10484
515639,10484
51596,10484
521956,10484
54557,10484
558721,10484
563464,10484
56640,10484
602899,10484
616887,10484
616890,10484
616891,10484
616893,10484
616894,10484
616898,10484
622830,10484
622831,10484
6590,10484
662132,10484
667398,10484
695507,10484
6968,10484
73491,10484
73627,10484
744172,10484
76749,10484
85213,10484
88721,10484
91945,10484
146227,1049
149498,1049
162036,1049
163086,1049
170472,1049
173900,1049
198529,1049
221322,1049
225122,1049
227805,1049
250358,1049
251860,1049
258374,1049
282724,1049
288376,1049
294321,1049
298583,1049
311680,1049
320271,1049
320466,1049
328914,1049
336731,1049
346289,1049
353032,1049
35939,1049
367466,1049
372246,1049
396894,1049
398131,1049
409273,1049
417575,1049
423443,1049
42373,1049
44373,1049
481084,1049
495629,1049
502676,1049
503991,1049
537382,1049
56066,1049
563812,1049
569375,1049
573775,1049
599263,1049
602156,1049
617074,1049
622992,1049
623024,1049
98322,1049
103064,105
11765,105
16628,105
16726,105
1743,105
1792,105
181763,105
18277,105
195782,105
19736,105
21039,105
220656,105
2926,105
31123,105
31173,105
317753,105
32273,105
33078,105
335633,105
335635,105
335636,105
335646,105
35383,105
35852,105
381128,105
381132,105
381134,105
381137,105
40456,105
42072,105
4691,105
49737,105
54846,105
55512,105
57895,105
77920,105
80672,105
84993,105
11111,1050
126716,1050
126748,1050
126875,1050
127032,1050
142019,1050
15452,1050
15799,1050
165008,1050
175449,1050
177467,1050
188854,1050
193073,1050
195332,1050
199323,1050
199325,1050
204102,1050
