players_id,games_id,id,competitions_id,clubs_id,goals,assists,minutes_played,yellow_cards,red_cards
129674,3614539,3614539_129674,IT1,6574,0,0,90,0,0
123261,3614539,3614539_123261,IT1,6574,0,0,90,1,0
391065,3614539,3614539_391065,IT1,6574,0,0,3,0,0
401527,3614539,3614539_401527,IT1,6574,0,0,90,0,0
277167,3614539,3614539_277167,IT1,6574,0,0,90,0,0
35865,3614539,3614539_35865,IT1,6574,0,0,90,0,0
497291,3614709,3614709_497291,IT1,1025,0,0,90,1,0
94293,3580216,3580216_94293,DK1,5724,0,0,71,0,0
610400,3580216,3580216_610400,DK1,190,1,0,67,0,0
289835,3580216,3580216_289835,DK1,190,1,0,82,0,0
464446,3580216,3580216_464446,DK1,190,0,0,8,0,0
263804,3580216,3580216_263804,DK1,190,0,1,90,0,0
335209,3580216,3580216_335209,DK1,190,0,0,90,0,0
131161,3580216,3580216_131161,DK1,190,0,0,90,0,0
564529,3580216,3580216_564529,DK1,190,0,0,90,0,0
167105,3580216,3580216_167105,DK1,190,0,0,90,1,0
346551,3580216,3580216_346551,DK1,190,0,0,90,0,0
69642,3580216,3580216_69642,DK1,190,0,0,90,0,0
579565,3580216,3580216_579565,DK1,190,0,0,23,0,0
165825,3580216,3580216_165825,DK1,190,0,0,90,0,0
491890,3580216,3580216_491890,DK1,5724,0,0,32,0,0
192985,3580216,3580216_192985,DK1,5724,0,0,58,0,0
321292,3580216,3580216_321292,DK1,5724,0,0,19,0,0
45666,3580216,3580216_45666,DK1,5724,0,0,90,0,0
320272,3580216,3580216_320272,DK1,5724,0,0,58,0,0
663424,3580216,3580216_663424,DK1,5724,0,0,90,0,0
48864,3580216,3580216_48864,DK1,5724,0,0,10,1,0
542858,3580216,3580216_542858,DK1,5724,0,0,19,0,0
89541,3580216,3580216_89541,DK1,5724,0,0,90,0,0
193724,3580216,3580216_193724,DK1,5724,0,0,71,0,0
190280,3580216,3580216_190280,DK1,5724,0,0,90,0,0
566571,3580216,3580216_566571,DK1,5724,0,0,80,0,0
164693,3580216,3580216_164693,DK1,5724,0,0,32,0,0
316750,3580216,3580216_316750,DK1,5724,0,0,90,0,0
216569,3614539,3614539_216569,IT1,6574,0,0,87,0,0
160668,3651139,3651139_160668,CL,496,0,0,78,1,0
63487,3673520,3673520_63487,GR1,6418,1,0,85,0,0
118302,3673520,3673520_118302,GR1,6418,0,0,5,0,0
298313,3673520,3673520_298313,GR1,6418,1,0,90,1,0
461936,3673520,3673520_461936,GR1,6418,0,0,26,0,0
39784,3673520,3673520_39784,GR1,6418,0,0,64,0,0
609647,3673520,3673520_609647,GR1,6418,0,0,90,0,0
300309,3673520,3673520_300309,GR1,6418,0,0,75,1,0
99691,3673520,3673520_99691,GR1,6418,0,0,15,0,0
354775,3673520,3673520_354775,GR1,6418,0,0,90,0,0
212430,3673520,3673520_212430,GR1,6418,0,1,90,0,0
353271,3673520,3673520_353271,GR1,6418,0,0,90,0,0
199179,3673520,3673520_199179,GR1,6418,0,0,90,1,0
49993,3673520,3673520_49993,GR1,6418,0,0,90,0,0
216489,3673520,3673520_216489,GR1,6418,0,0,90,1,0
623331,3654451,3654451_623331,UKRP,6993,0,0,74,0,0
404848,3654451,3654451_404848,UKRP,6993,0,0,46,0,0
649716,3654458,3654458_649716,UKRP,49364,0,0,90,1,0
581405,3654458,3654458_581405,UKRP,49364,0,0,28,0,0
375180,3654458,3654458_375180,UKRP,49364,0,1,90,0,0
461666,3654458,3654458_461666,UKRP,49364,0,0,90,0,0
216579,3654458,3654458_216579,UKRP,49364,0,0,62,0,0
339323,3654458,3654458_339323,UKRP,49364,0,0,26,2,0
59115,3654458,3654458_59115,UKRP,49364,0,0,90,0,0
108866,3654458,3654458_108866,UKRP,49364,0,0,90,1,0
168041,3654458,3654458_168041,UKRP,49364,0,0,90,0,0
62515,3639112,3639112_62515,UKRP,63007,0,0,29,0,0
62515,3654458,3654458_62515,UKRP,63007,0,0,76,0,0
470833,3654451,3654451_470833,UKRP,6993,0,0,120,0,0
722371,3654451,3654451_722371,UKRP,6993,0,0,69,1,0
708241,3654451,3654451_708241,UKRP,6993,0,0,89,0,0
726016,3654451,3654451_726016,UKRP,6993,0,0,31,0,0
396401,3654451,3654451_396401,UKRP,6993,0,0,46,0,0
404849,3654451,3654451_404849,UKRP,6993,0,0,51,0,0
212243,3654451,3654451_212243,UKRP,6993,0,0,120,0,0
717198,3654451,3654451_717198,UKRP,6993,0,0,120,0,0
726036,3654451,3654451_726036,UKRP,6993,0,0,61,0,0
755327,3654451,3654451_755327,UKRP,6993,0,0,74,0,0
709478,3654451,3654451_709478,UKRP,6993,0,0,120,0,0
343622,3654451,3654451_343622,UKRP,6993,0,0,120,0,0
365692,3654451,3654451_365692,UKRP,6993,0,0,59,0,0
126796,3673520,3673520_126796,GR1,60949,1,0,90,0,0
630032,3673520,3673520_630032,GR1,60949,0,0,66,0,0
610570,3673520,3673520_610570,GR1,60949,0,0,90,0,0
609651,3673520,3673520_609651,GR1,60949,0,0,24,0,0
95673,3673520,3673520_95673,GR1,60949,0,0,90,0,0
207571,3673520,3673520_207571,GR1,60949,0,0,77,0,0
46062,3673520,3673520_46062,GR1,60949,0,0,13,0,0
5336,3673520,3673520_5336,GR1,60949,0,0,13,1,0
332250,3673520,3673520_332250,GR1,60949,0,0,77,0,0
325454,3673520,3673520_325454,GR1,60949,0,0,90,1,0
540466,3673520,3673520_540466,GR1,60949,0,0,90,0,0
177475,3673520,3673520_177475,GR1,60949,0,0,90,0,0
203981,3673520,3673520_203981,GR1,60949,0,0,50,0,0
95604,3631890,3631890_95604,ECLQ,157,0,0,63,0,0
90583,3631890,3631890_90583,ECLQ,157,0,0,27,0,0
245228,3631890,3631890_245228,ECLQ,157,0,0,90,0,0
167798,3631890,3631890_167798,ECLQ,157,0,0,63,0,0
153440,3631890,3631890_153440,ECLQ,33783,0,0,90,0,0
264046,3631890,3631890_264046,ECLQ,157,0,0,1,0,0
38388,3631890,3631890_38388,ECLQ,157,0,0,90,0,0
129592,3631890,3631890_129592,ECLQ,157,0,1,90,1,0
290261,3631890,3631890_290261,ECLQ,157,0,0,11,0,0
453376,3631890,3631890_453376,ECLQ,157,1,0,90,1,0
469976,3631890,3631890_469976,ECLQ,157,0,0,79,0,0
340166,3631890,3631890_340166,ECLQ,157,0,0,90,0,0
520624,3651935,3651935_520624,EL,1041,0,1,90,0,0
33862,3631890,3631890_33862,ECLQ,157,0,0,90,0,0
227239,3631890,3631890_227239,ECLQ,157,0,0,90,0,0
142924,3631890,3631890_142924,ECLQ,157,0,0,90,0,0
377468,3651139,3651139_377468,CL,496,0,0,90,0,0
432982,3614709,3614709_432982,IT1,1025,0,0,45,0,0
333383,3651139,3651139_333383,CL,496,0,0,89,1,0
354362,3651139,3651139_354362,CL,506,0,0,90,0,0
354362,3614709,3614709_354362,IT1,506,0,0,19,0,0
431755,3614709,3614709_431755,IT1,506,0,0,19,0,0
86792,3651935,3651935_86792,EL,1041,0,0,75,0,0
620322,3651935,3651935_620322,EL,1041,0,0,74,2,0
444523,3651935,3651935_444523,EL,1041,1,0,45,1,0
395693,3651935,3651935_395693,EL,1041,1,0,90,0,0
135617,3651935,3651935_135617,EL,1041,0,0,90,1,0
236400,3651935,3651935_236400,EL,1041,0,0,15,1,0
395237,3651935,3651935_395237,EL,1041,0,0,1,0,0
384060,3651935,3651935_384060,EL,1041,0,0,45,0,0
204072,3651935,3651935_204072,EL,1041,0,0,45,1,0
277114,3651935,3651935_277114,EL,1041,0,0,90,0,0
702441,3651935,3651935_702441,EL,1041,0,0,21,0,0
26485,3651935,3651935_26485,EL,1041,0,1,69,1,0
60561,3651935,3651935_60561,EL,1041,0,0,90,0,0
181778,3651935,3651935_181778,EL,1041,0,0,45,0,0
315110,3651935,3651935_315110,EL,1041,2,1,90,1,0
391004,3580216,3580216_391004,DK1,190,0,1,82,0,0
712857,3654451,3654451_712857,UKRP,6993,0,0,120,0,0
354814,3614756,3614756_354814,IT1,3522,0,0,16,0,0
538974,3614756,3614756_538974,IT1,3522,0,0,4,0,0
308278,3614756,3614756_308278,IT1,3522,0,0,74,0,0
587458,3614756,3614756_587458,IT1,3522,0,1,26,0,0
